,energy,count
171,2.3452,3.8651057480048966e-05
172,2.3595,3.8651057480048966e-05
173,2.3738,1.288368582668299e-05
174,2.3881,3.8651057480048966e-05
175,2.4024,1.288368582668299e-05
176,2.4167,6.441842913341495e-05
177,2.431,3.8651057480048966e-05
178,2.4453,3.8651057480048966e-05
179,2.4596,5.153474330673196e-05
180,2.4739,5.153474330673196e-05
181,2.4882,6.441842913341495e-05
182,2.5025,6.441842913341495e-05
183,2.5168,5.153474330673196e-05
184,2.5311,5.153474330673196e-05
185,2.5454,1.288368582668299e-05
186,2.5597,5.153474330673196e-05
187,2.574,1.288368582668299e-05
188,2.5883,2.576737165336598e-05
189,2.6026,2.576737165336598e-05
190,2.6169000000000002,2.576737165336598e-05
191,2.6312,2.576737165336598e-05
192,2.6455,5.153474330673196e-05
